<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.17	07:00:00	2025.46	2025.51	2020.69	2021.67	722	0	5
2024.01.17	07:15:00	2021.64	2021.67	2019.36	2020.57	1086	0	7
2024.01.17	07:30:00	2020.52	2021.70	2020.27	2020.47	1204	0	5
2024.01.17	07:45:00	2020.46	2021.57	2020.26	2020.68	686	0	5
2024.01.17	08:00:00	2020.68	2020.80	2017.94	2018.26	1206	0	7
2024.01.17	08:15:00	2018.25	2018.58	2017.66	2017.83	940	0	7
2024.01.17	08:30:00	2017.81	2019.37	2017.74	2018.66	864	0	7
2024.01.17	08:45:00	2018.65	2019.72	2017.87	2019.26	1024	0	7
2024.01.17	09:00:00	2019.31	2019.50	2017.90	2018.37	1283	0	5
2024.01.17	09:15:00	2018.43	2020.86	2018.35	2019.98	1107	0	5
2024.01.17	09:30:00	2019.88	2024.76	2019.22	2024.12	1288	0	7
2024.01.17	09:45:00	2023.96	2026.18	2023.58	2025.82	1246	0	9
2024.01.17	10:00:00	2025.78	2026.60	2023.96	2025.38	1289	0	5
2024.01.17	10:15:00	2025.40	2025.94	2023.80	2024.06	913	0	5
2024.01.17	10:30:00	2023.99	2024.95	2022.24	2022.24	822	0	5
2024.01.17	10:45:00	2022.24	2022.65	2021.30	2021.50	731	0	5
2024.01.17	11:00:00	2021.46	2021.56	2019.05	2019.46	901	0	5
2024.01.17	11:15:00	2019.48	2020.68	2019.36	2020.52	982	0	5
2024.01.17	11:30:00	2020.52	2022.30	2020.46	2022.14	898	0	5
2024.01.17	11:45:00	2022.14	2024.27	2021.51	2023.92	804	0	5
2024.01.17	12:00:00	2023.69	2024.38	2022.82	2023.80	856	0	5
2024.01.17	12:15:00	2023.90	2026.22	2022.82	2025.92	730	0	5
2024.01.17	12:30:00	2025.93	2028.34	2025.77	2025.86	1087	0	5
2024.01.17	12:45:00	2025.88	2027.12	2024.97	2026.10	786	0	5
2024.01.17	13:00:00	2026.10	2026.74	2023.92	2024.61	737	0	5
2024.01.17	13:15:00	2024.62	2025.90	2024.06	2025.66	668	0	5
2024.01.17	13:30:00	2025.58	2026.56	2025.02	2025.65	683	0	5
2024.01.17	13:45:00	2025.63	2026.15	2023.75	2023.92	614	0	5
2024.01.17	14:00:00	2023.97	2026.67	2023.76	2026.47	925	0	5
2024.01.17	14:15:00	2026.57	2028.03	2025.62	2027.68	1051	0	5
2024.01.17	14:30:00	2027.58	2028.27	2027.02	2027.94	975	0	5
2024.01.17	14:45:00	2027.84	2029.04	2026.42	2028.36	983	0	5
2024.01.17	15:00:00	2028.50	2028.68	2025.75	2026.45	1358	0	5
2024.01.17	15:15:00	2026.35	2027.02	2023.46	2025.32	1570	0	5
2024.01.17	15:30:00	2023.43	2025.49	2019.11	2022.44	2498	0	5
2024.01.17	15:45:00	2022.44	2024.66	2020.79	2022.44	1856	0	5
2024.01.17	16:00:00	2022.45	2023.10	2015.86	2019.90	1745	0	5
2024.01.17	16:15:00	2020.00	2022.02	2017.61	2021.61	1496	0	5
2024.01.17	16:30:00	2021.60	2022.80	2019.14	2019.38	2093	0	5
2024.01.17	16:45:00	2019.31	2019.48	2011.46	2012.20	2195	0	5
2024.01.17	17:00:00	2012.10	2014.07	2010.66	2012.02	2348	0	5
2024.01.17	17:15:00	2011.92	2012.06	2008.57	2008.87	2052	0	5
2024.01.17	17:30:00	2008.84	2012.17	2006.20	2009.93	1957	0	5
2024.01.17	17:45:00	2009.93	2011.26	2007.74	2008.91	1498	0	5
2024.01.17	18:00:00	2008.82	2011.99	2008.28	2010.28	1549	0	5
2024.01.17	18:15:00	2010.32	2010.43	2008.99	2009.46	1268	0	5
2024.01.17	18:30:00	2009.41	2010.55	2008.42	2009.37	1313	0	5
2024.01.17	18:45:00	2009.36	2009.55	2004.37	2005.48	1436	0	5
2024.01.17	19:00:00	2005.53	2006.82	2004.29	2004.95	1312	0	5
